[MON] S000   1731.000 MB/s output   1731.000 MB/s [null] q   1010 t   1021 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 1724]
[MON] S000   1786.214 MB/s output   1786.214 MB/s [null] q   1014 t   1021 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 1787]
[MON] S000   1880.000 MB/s output   1880.000 MB/s [null] q   1006 t   1021 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 1879]
[MON] S000   1877.123 MB/s output   1877.123 MB/s [null] q   1012 t   1021 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 1879]
[MON] S000   1880.000 MB/s output   1880.000 MB/s [null] q   1007 t   1021 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 1879]
[MON] S000   1879.121 MB/s output   1879.121 MB/s [null] q   1014 t   1021 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 1880]
[MON] S000   1880.000 MB/s output   1880.000 MB/s [null] q   1006 t   1021 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 1879]
[MON] S000   1878.122 MB/s output   1878.122 MB/s [null] q   1014 t   1021 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 1880]
[MON] S000   1879.000 MB/s output   1879.000 MB/s [null] q   1007 t   1021 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 1878]
[MON] S000   1877.123 MB/s output   1877.123 MB/s [null] q   1000 t   1021 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 1876]
[MON] S000   1877.000 MB/s output   1877.000 MB/s [null] q   1011 t   1021 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 1876]
[MON] S000   1878.122 MB/s output   1878.122 MB/s [null] q   1003 t   1021 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 1879]
[MON] S000   1875.000 MB/s output   1875.000 MB/s [null] q   1000 t   1021 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 1875]
[MON] S000   1878.122 MB/s output   1878.122 MB/s [null] q   1008 t   1021 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 1879]
[MON] S000   1881.000 MB/s output   1881.000 MB/s [null] q    999 t   1021 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 1880]
[MON] S000   1878.122 MB/s output   1878.122 MB/s [null] q   1006 t   1021 w   1022 b      1 p      0 policy [[0][0]=    0 [1][0]= 1880]
