[MON] S000   2109.890 MB/s output   1809.066 MB/s [null] S001   1798.202 MB/s output      3.623 MB/s [null] q     53 t     60 w     60 b     27 p     24 policy [[0][0]=    1 [0][1]=    1 [1][0]=    1 [1][1]=    1]
[MON] S000   2438.247 MB/s output   2090.606 MB/s [null] S001   2087.649 MB/s output      4.490 MB/s [null] q     53 t     60 w     60 b     27 p     24 policy [[0][0]=    0 [0][1]=    0 [1][0]=  319 [1][1]=  246]
[MON] S000   2573.427 MB/s output   2206.512 MB/s [null] S001   2205.794 MB/s output      4.358 MB/s [null] q     54 t     60 w     60 b     27 p     24 policy [[0][0]=    0 [0][1]=    0 [1][0]=  301 [1][1]=  258]
[MON] S000   2602.794 MB/s output   2231.693 MB/s [null] S001   2227.545 MB/s output      4.710 MB/s [null] q     54 t     60 w     60 b     27 p     24 policy [[0][0]=    0 [0][1]=    0 [1][0]=  321 [1][1]=  276]
[MON] S000   2605.395 MB/s output   2233.922 MB/s [null] S001   2237.762 MB/s output      4.636 MB/s [null] q     54 t     60 w     60 b     27 p     24 policy [[0][0]=    0 [0][1]=    0 [1][0]=  326 [1][1]=  279]
[MON] S000   2605.395 MB/s output   2233.922 MB/s [null] S001   2237.762 MB/s output      4.494 MB/s [null] q     53 t     60 w     60 b     27 p     24 policy [[0][0]=    0 [0][1]=    0 [1][0]=  326 [1][1]=  279]
[MON] S000   2602.794 MB/s output   2231.693 MB/s [null] S001   2227.545 MB/s output      4.785 MB/s [null] q     54 t     60 w     60 b     27 p     24 policy [[0][0]=    0 [0][1]=    0 [1][0]=  325 [1][1]=  280]
[MON] S000   2613.387 MB/s output   2240.775 MB/s [null] S001   2237.762 MB/s output      4.508 MB/s [null] q     54 t     60 w     60 b     27 p     24 policy [[0][0]=    0 [0][1]=    0 [1][0]=  326 [1][1]=  279]
[MON] S000   2586.826 MB/s output   2218.001 MB/s [null] S001   2227.545 MB/s output      4.552 MB/s [null] q     54 t     60 w     60 b     27 p     24 policy [[0][0]=    0 [0][1]=    0 [1][0]=  325 [1][1]=  280]
[MON] S000   2381.618 MB/s output   2042.052 MB/s [null] S001   2045.954 MB/s output      4.440 MB/s [null] q     53 t     60 w     60 b     27 p     24 policy [[0][0]=    0 [0][1]=    0 [1][0]=  325 [1][1]=  278]
[MON] S000   2461.538 MB/s output   2110.577 MB/s [null] S001   2109.890 MB/s output      4.142 MB/s [null] q     52 t     60 w     60 b     27 p     24 policy [[0][0]=    0 [0][1]=    0 [1][0]=  296 [1][1]=  252]
[MON] S000   2541.459 MB/s output   2179.102 MB/s [null] S001   2165.834 MB/s output      4.591 MB/s [null] q     54 t     60 w     60 b     27 p     24 policy [[0][0]=    0 [0][1]=    0 [1][0]=  305 [1][1]=  261]
[MON] S000   2533.467 MB/s output   2172.250 MB/s [null] S001   2181.818 MB/s output      4.483 MB/s [null] q     53 t     60 w     60 b     27 p     24 policy [[0][0]=    0 [0][1]=    0 [1][0]=  313 [1][1]=  269]
[MON] S000   2525.475 MB/s output   2165.397 MB/s [null] S001   2165.834 MB/s output      4.379 MB/s [null] q     54 t     60 w     60 b     27 p     24 policy [[0][0]=    0 [0][1]=    0 [1][0]=  315 [1][1]=  269]
[MON] S000   2541.459 MB/s output   2179.102 MB/s [null] S001   2165.834 MB/s output      4.722 MB/s [null] q     54 t     60 w     60 b     27 p     24 policy [[0][0]=    0 [0][1]=    0 [1][0]=  313 [1][1]=  269]
[MON] S000   2525.475 MB/s output   2165.397 MB/s [null] S001   2181.818 MB/s output      4.291 MB/s [null] q     52 t     60 w     60 b     27 p     24 policy [[0][0]=    0 [0][1]=    0 [1][0]=  314 [1][1]=  268]
[MON] S000   2525.475 MB/s output   2165.397 MB/s [null] S001   2165.834 MB/s output      4.505 MB/s [null] q     53 t     60 w     60 b     27 p     24 policy [[0][0]=    0 [0][1]=    0 [1][0]=  315 [1][1]=  269]
[MON] S000   2541.459 MB/s output   2179.102 MB/s [null] S001   2165.834 MB/s output      4.576 MB/s [null] q     54 t     60 w     60 b     27 p     24 policy [[0][0]=    0 [0][1]=    0 [1][0]=  313 [1][1]=  268]
[MON] S000   2525.475 MB/s output   2165.397 MB/s [null] S001   2173.826 MB/s output      4.308 MB/s [null] q     54 t     60 w     60 b     27 p     24 policy [[0][0]=    0 [0][1]=    0 [1][0]=  313 [1][1]=  269]
