[MON] S000   2802.395 MB/s output   2402.835 MB/s [null] S001   2323.353 MB/s output      4.723 MB/s [null] q     51 t     59 w     59 b     38 p     32 policy [[0][0]=    1 [0][1]=    1 [1][0]=    1 [1][1]=    1]
[MON] S000   2932.271 MB/s output   2514.193 MB/s [null] S001   2501.992 MB/s output      5.279 MB/s [null] q     53 t     59 w     60 b     38 p     32 policy [[0][0]=    0 [0][1]=    0 [1][0]=  385 [1][1]=  305]
[MON] S000   3044.955 MB/s output   2610.811 MB/s [null] S001   2613.387 MB/s output      5.486 MB/s [null] q     52 t     59 w     60 b     38 p     32 policy [[0][0]=    0 [0][1]=    0 [1][0]=  363 [1][1]=  310]
[MON] S000   3049.900 MB/s output   2615.051 MB/s [null] S001   2610.778 MB/s output      5.232 MB/s [null] q     52 t     59 w     60 b     38 p     32 policy [[0][0]=    0 [0][1]=    0 [1][0]=  381 [1][1]=  326]
[MON] S000   3044.955 MB/s output   2610.811 MB/s [null] S001   2621.379 MB/s output      5.380 MB/s [null] q     52 t     59 w     60 b     38 p     32 policy [[0][0]=    0 [0][1]=    0 [1][0]=  381 [1][1]=  327]
[MON] S000   3057.884 MB/s output   2621.897 MB/s [null] S001   2610.778 MB/s output      5.530 MB/s [null] q     52 t     59 w     60 b     38 p     32 policy [[0][0]=    0 [0][1]=    0 [1][0]=  381 [1][1]=  327]
[MON] S000   3044.955 MB/s output   2610.811 MB/s [null] S001   2621.379 MB/s output      5.456 MB/s [null] q     51 t     59 w     60 b     38 p     32 policy [[0][0]=    0 [0][1]=    0 [1][0]=  382 [1][1]=  327]
[MON] S000   3049.900 MB/s output   2615.051 MB/s [null] S001   2610.778 MB/s output      5.250 MB/s [null] q     51 t     59 w     60 b     38 p     32 policy [[0][0]=    0 [0][1]=    0 [1][0]=  377 [1][1]=  323]
[MON] S000   2938.124 MB/s output   2519.212 MB/s [null] S001   2506.986 MB/s output      5.168 MB/s [null] q     52 t     59 w     60 b     38 p     32 policy [[0][0]=    0 [0][1]=    0 [1][0]=  378 [1][1]=  323]
[MON] S000   2997.003 MB/s output   2569.696 MB/s [null] S001   2581.419 MB/s output      5.495 MB/s [null] q     51 t     59 w     60 b     38 p     32 policy [[0][0]=    0 [0][1]=    0 [1][0]=  362 [1][1]=  311]
[MON] S000   3052.947 MB/s output   2617.664 MB/s [null] S001   2621.379 MB/s output      5.352 MB/s [null] q     51 t     59 w     60 b     38 p     32 policy [[0][0]=    0 [0][1]=    0 [1][0]=  373 [1][1]=  318]
[MON] S000   3052.947 MB/s output   2617.664 MB/s [null] S001   2613.387 MB/s output      5.293 MB/s [null] q     51 t     59 w     60 b     38 p     32 policy [[0][0]=    0 [0][1]=    0 [1][0]=  378 [1][1]=  324]
[MON] S000   3060.939 MB/s output   2624.516 MB/s [null] S001   2621.379 MB/s output      5.425 MB/s [null] q     52 t     59 w     60 b     38 p     32 policy [[0][0]=    0 [0][1]=    0 [1][0]=  378 [1][1]=  324]
[MON] S000   3052.947 MB/s output   2617.664 MB/s [null] S001   2621.379 MB/s output      5.591 MB/s [null] q     52 t     59 w     60 b     38 p     32 policy [[0][0]=    0 [0][1]=    0 [1][0]=  378 [1][1]=  323]
[MON] S000   3052.947 MB/s output   2617.664 MB/s [null] S001   2613.387 MB/s output      5.325 MB/s [null] q     51 t     59 w     60 b     38 p     32 policy [[0][0]=    0 [0][1]=    0 [1][0]=  379 [1][1]=  324]
[MON] S000   3060.939 MB/s output   2624.516 MB/s [null] S001   2629.371 MB/s output      5.324 MB/s [null] q     51 t     59 w     60 b     38 p     32 policy [[0][0]=    0 [0][1]=    0 [1][0]=  377 [1][1]=  324]
