[MONITOR] (0) t:  3856.000 MB/s  l: 17650.279 us   (avg) t:  3856.000 MB/s
[MONITOR] (0) t:  4192.000 MB/s  l: 15846.588 us   (avg) t:  4192.000 MB/s
[MONITOR] (0) t:  3488.000 MB/s  l: 20304.527 us   (avg) t:  3488.000 MB/s
[MONITOR] (0) t:  4344.000 MB/s  l: 15850.858 us   (avg) t:  4344.000 MB/s
[MONITOR] (0) t:  4448.000 MB/s  l: 18017.729 us   (avg) t:  4448.000 MB/s
[MONITOR] (0) t:  3944.000 MB/s  l: 17425.328 us   (avg) t:  3944.000 MB/s
[MONITOR] (0) t:  4360.000 MB/s  l: 16378.651 us   (avg) t:  4360.000 MB/s
[MONITOR] (0) t:  4512.000 MB/s  l: 15796.830 us   (avg) t:  4512.000 MB/s
[MONITOR] (0) t:  4520.000 MB/s  l: 16350.438 us   (avg) t:  4520.000 MB/s
[MONITOR] (0) t:  4128.000 MB/s  l: 17915.385 us   (avg) t:  4128.000 MB/s
[MONITOR] (0) t:  3952.000 MB/s  l: 18055.098 us   (avg) t:  3952.000 MB/s
[MONITOR] (0) t:  4544.000 MB/s  l: 16041.405 us   (avg) t:  4544.000 MB/s
[MONITOR] (0) t:  4536.000 MB/s  l: 15294.296 us   (avg) t:  4536.000 MB/s
[MONITOR] (0) t:  4552.000 MB/s  l: 15419.580 us   (avg) t:  4552.000 MB/s
[MONITOR] (0) t:  4488.000 MB/s  l: 13443.877 us   (avg) t:  4488.000 MB/s
[MONITOR] (0) t:  4544.000 MB/s  l: 12773.028 us   (avg) t:  4544.000 MB/s
[MONITOR] (0) t:  4560.000 MB/s  l: 15032.442 us   (avg) t:  4560.000 MB/s
[MONITOR] (0) t:  4552.000 MB/s  l: 12611.246 us   (avg) t:  4552.000 MB/s
[MONITOR] (0) t:  4544.000 MB/s  l: 13006.147 us   (avg) t:  4544.000 MB/s
[MONITOR] (0) t:  4560.000 MB/s  l: 13155.207 us   (avg) t:  4560.000 MB/s
[MONITOR] (0) t:  4544.000 MB/s  l: 14311.958 us   (avg) t:  4544.000 MB/s
[MONITOR] (0) t:  4544.000 MB/s  l: 13603.557 us   (avg) t:  4544.000 MB/s
[MONITOR] (0) t:  4544.000 MB/s  l: 13485.544 us   (avg) t:  4544.000 MB/s
[MONITOR] (0) t:  4544.000 MB/s  l: 15336.496 us   (avg) t:  4544.000 MB/s
[MONITOR] (0) t:  4552.000 MB/s  l: 13305.051 us   (avg) t:  4552.000 MB/s
[MONITOR] (0) t:  4544.000 MB/s  l: 13494.077 us   (avg) t:  4544.000 MB/s
[MONITOR] (0) t:  4544.000 MB/s  l: 13663.086 us   (avg) t:  4544.000 MB/s
[MONITOR] (0) t:  4544.000 MB/s  l: 14408.292 us   (avg) t:  4544.000 MB/s
[MONITOR] (0) t:  4544.000 MB/s  l: 16167.405 us   (avg) t:  4544.000 MB/s
[MONITOR] (0) t:  4552.000 MB/s  l: 15735.136 us   (avg) t:  4552.000 MB/s
[MONITOR] (0) t:  4544.000 MB/s  l: 13037.984 us   (avg) t:  4544.000 MB/s
