[MON] S000   1040.000 MB/s output    891.719 MB/s [null] S001    888.000 MB/s output      1.954 MB/s [null] q     56 t     58 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  130 [1][1]=  111]
[MON] S000   1030.969 MB/s output    883.975 MB/s [null] S001    887.113 MB/s output      1.883 MB/s [null] q     56 t     58 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  129 [1][1]=  111]
[MON] S000   1040.000 MB/s output    891.719 MB/s [null] S001    888.000 MB/s output      1.653 MB/s [null] q     57 t     58 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  130 [1][1]=  111]
[MON] S000   1030.969 MB/s output    883.975 MB/s [null] S001    895.105 MB/s output      1.865 MB/s [null] q     55 t     58 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  130 [1][1]=  111]
[MON] S000   1040.000 MB/s output    891.719 MB/s [null] S001    888.000 MB/s output      1.961 MB/s [null] q     56 t     58 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  130 [1][1]=  111]
[MON] S000   1038.961 MB/s output    890.828 MB/s [null] S001    887.113 MB/s output      1.861 MB/s [null] q     55 t     58 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  129 [1][1]=  111]
[MON] S000   1038.961 MB/s output    890.828 MB/s [null] S001    887.113 MB/s output      1.659 MB/s [null] q     57 t     58 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  129 [1][1]=  111]
[MON] S000   1032.000 MB/s output    884.859 MB/s [null] S001    896.000 MB/s output      1.875 MB/s [null] q     55 t     58 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  129 [1][1]=  111]
[MON] S000   1038.961 MB/s output    890.828 MB/s [null] S001    887.113 MB/s output      1.965 MB/s [null] q     56 t     58 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  130 [1][1]=  111]
[MON] S000   1040.000 MB/s output    891.719 MB/s [null] S001    888.000 MB/s output      1.840 MB/s [null] q     55 t     58 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  130 [1][1]=  111]
[MON] S000   1040.000 MB/s output    891.719 MB/s [null] S001    888.000 MB/s output      1.669 MB/s [null] q     57 t     58 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  130 [1][1]=  112]
[MON] S000   1030.969 MB/s output    883.975 MB/s [null] S001    895.105 MB/s output      1.882 MB/s [null] q     55 t     58 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  129 [1][1]=  111]
[MON] S000   1038.961 MB/s output    890.828 MB/s [null] S001    879.121 MB/s output      1.941 MB/s [null] q     56 t     58 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  130 [1][1]=  110]
[MON] S000   1030.969 MB/s output    883.975 MB/s [null] S001    895.105 MB/s output      1.846 MB/s [null] q     55 t     58 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  129 [1][1]=  111]
[MON] S000   1040.000 MB/s output    891.719 MB/s [null] S001    888.000 MB/s output      1.677 MB/s [null] q     56 t     58 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  130 [1][1]=  112]
[MON] S000   1030.969 MB/s output    883.975 MB/s [null] S001    887.113 MB/s output      1.875 MB/s [null] q     55 t     58 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  128 [1][1]=  110]
[MON] S000    928.000 MB/s output    795.688 MB/s [null] S001    784.000 MB/s output      1.739 MB/s [null] q     57 t     58 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  115 [1][1]=   99]
