[MONITOR] (0) t:  2608.000 MB/s  l: 34936.508 us   (avg) t:  2608.000 MB/s
[MONITOR] (0) t:  3056.000 MB/s  l: 29355.021 us   (avg) t:  3056.000 MB/s
[MONITOR] (0) t:  3120.000 MB/s  l: 29179.559 us   (avg) t:  3120.000 MB/s
[MONITOR] (0) t:  3152.000 MB/s  l: 28829.346 us   (avg) t:  3152.000 MB/s
[MONITOR] (0) t:  3120.000 MB/s  l: 28373.656 us   (avg) t:  3120.000 MB/s
[MONITOR] (0) t:  3184.000 MB/s  l: 28120.809 us   (avg) t:  3184.000 MB/s
[MONITOR] (0) t:  3168.000 MB/s  l: 28401.859 us   (avg) t:  3168.000 MB/s
[MONITOR] (0) t:  3168.000 MB/s  l: 28409.031 us   (avg) t:  3168.000 MB/s
[MONITOR] (0) t:  3200.000 MB/s  l: 27632.840 us   (avg) t:  3200.000 MB/s
[MONITOR] (0) t:  3184.000 MB/s  l: 27759.773 us   (avg) t:  3184.000 MB/s
[MONITOR] (0) t:  3184.000 MB/s  l: 27993.643 us   (avg) t:  3184.000 MB/s
[MONITOR] (0) t:  3184.000 MB/s  l: 28298.568 us   (avg) t:  3184.000 MB/s
[MONITOR] (0) t:  3104.000 MB/s  l: 28745.686 us   (avg) t:  3104.000 MB/s
[MONITOR] (0) t:  3184.000 MB/s  l: 27996.914 us   (avg) t:  3184.000 MB/s
[MONITOR] (0) t:  3168.000 MB/s  l: 28249.006 us   (avg) t:  3168.000 MB/s
[MONITOR] (0) t:  3200.000 MB/s  l: 27730.016 us   (avg) t:  3200.000 MB/s
[MONITOR] (0) t:  3200.000 MB/s  l: 27625.240 us   (avg) t:  3200.000 MB/s
[MONITOR] (0) t:  3216.000 MB/s  l: 28822.039 us   (avg) t:  3216.000 MB/s
[MONITOR] (0) t:  3216.000 MB/s  l: 27973.881 us   (avg) t:  3216.000 MB/s
[MONITOR] (0) t:  3200.000 MB/s  l: 27687.234 us   (avg) t:  3200.000 MB/s
[MONITOR] (0) t:  3248.000 MB/s  l: 27116.832 us   (avg) t:  3248.000 MB/s
[MONITOR] (0) t:  3264.000 MB/s  l: 27240.854 us   (avg) t:  3264.000 MB/s
[MONITOR] (0) t:  3312.000 MB/s  l: 26682.803 us   (avg) t:  3312.000 MB/s
[MONITOR] (0) t:  3136.000 MB/s  l: 27803.193 us   (avg) t:  3136.000 MB/s
[MONITOR] (0) t:  3232.000 MB/s  l: 27405.787 us   (avg) t:  3232.000 MB/s
[MONITOR] (0) t:  3280.000 MB/s  l: 27366.225 us   (avg) t:  3280.000 MB/s
[MONITOR] (0) t:  3264.000 MB/s  l: 27081.539 us   (avg) t:  3264.000 MB/s
[MONITOR] (0) t:  3264.000 MB/s  l: 26847.564 us   (avg) t:  3264.000 MB/s
[MONITOR] (0) t:  3248.000 MB/s  l: 27193.162 us   (avg) t:  3248.000 MB/s
[MONITOR] (0) t:  3232.000 MB/s  l: 27178.203 us   (avg) t:  3232.000 MB/s
[MONITOR] (0) t:  3312.000 MB/s  l: 26927.217 us   (avg) t:  3312.000 MB/s
[MONITOR] (0) t:  3312.000 MB/s  l: 26640.967 us   (avg) t:  3312.000 MB/s
[MONITOR] (0) t:  3264.000 MB/s  l: 26723.902 us   (avg) t:  3264.000 MB/s
