[MONITOR] (0) t:  2590.000 MB/s  l: 24707.004 us   (avg) t:  2590.000 MB/s
[MONITOR] (0) t:  2900.000 MB/s  l: 19648.924 us   (avg) t:  2900.000 MB/s
[MONITOR] (0) t:  2710.000 MB/s  l: 20859.551 us   (avg) t:  2710.000 MB/s
[MONITOR] (0) t:  2960.000 MB/s  l: 19338.631 us   (avg) t:  2960.000 MB/s
[MONITOR] (0) t:  2940.000 MB/s  l: 19433.344 us   (avg) t:  2940.000 MB/s
[MONITOR] (0) t:  2900.000 MB/s  l: 19369.014 us   (avg) t:  2900.000 MB/s
[MONITOR] (0) t:  2880.000 MB/s  l: 19637.049 us   (avg) t:  2880.000 MB/s
[MONITOR] (0) t:  2980.000 MB/s  l: 19121.494 us   (avg) t:  2980.000 MB/s
[MONITOR] (0) t:  2920.000 MB/s  l: 19676.117 us   (avg) t:  2920.000 MB/s
[MONITOR] (0) t:  2940.000 MB/s  l: 19163.707 us   (avg) t:  2940.000 MB/s
[MONITOR] (0) t:  2940.000 MB/s  l: 19020.371 us   (avg) t:  2940.000 MB/s
[MONITOR] (0) t:  2880.000 MB/s  l: 19698.336 us   (avg) t:  2880.000 MB/s
[MONITOR] (0) t:  2840.000 MB/s  l: 20098.580 us   (avg) t:  2840.000 MB/s
[MONITOR] (0) t:  3020.000 MB/s  l: 18820.443 us   (avg) t:  3020.000 MB/s
[MONITOR] (0) t:  3010.000 MB/s  l: 18728.094 us   (avg) t:  3010.000 MB/s
[MONITOR] (0) t:  2990.000 MB/s  l: 19059.287 us   (avg) t:  2990.000 MB/s
[MONITOR] (0) t:  2860.000 MB/s  l: 19602.434 us   (avg) t:  2860.000 MB/s
[MONITOR] (0) t:  2880.000 MB/s  l: 19737.465 us   (avg) t:  2880.000 MB/s
[MONITOR] (0) t:  2970.000 MB/s  l: 19259.084 us   (avg) t:  2970.000 MB/s
[MONITOR] (0) t:  2990.000 MB/s  l: 19001.273 us   (avg) t:  2990.000 MB/s
[MONITOR] (0) t:  2990.000 MB/s  l: 19133.191 us   (avg) t:  2990.000 MB/s
[MONITOR] (0) t:  3000.000 MB/s  l: 19052.199 us   (avg) t:  3000.000 MB/s
[MONITOR] (0) t:  2990.000 MB/s  l: 19136.250 us   (avg) t:  2990.000 MB/s
[MONITOR] (0) t:  2990.000 MB/s  l: 19114.090 us   (avg) t:  2990.000 MB/s
[MONITOR] (0) t:  3010.000 MB/s  l: 18838.654 us   (avg) t:  3010.000 MB/s
[MONITOR] (0) t:  2970.000 MB/s  l: 19351.707 us   (avg) t:  2970.000 MB/s
[MONITOR] (0) t:  2850.000 MB/s  l: 19863.730 us   (avg) t:  2850.000 MB/s
[MONITOR] (0) t:  2830.000 MB/s  l: 20355.223 us   (avg) t:  2830.000 MB/s
[MONITOR] (0) t:  3000.000 MB/s  l: 19700.131 us   (avg) t:  3000.000 MB/s
[MONITOR] (0) t:  2840.000 MB/s  l: 20039.771 us   (avg) t:  2840.000 MB/s
[MONITOR] (0) t:  2950.000 MB/s  l: 19249.336 us   (avg) t:  2950.000 MB/s
[MONITOR] (0) t:  3010.000 MB/s  l: 19230.561 us   (avg) t:  3010.000 MB/s
[MONITOR] (0) t:  3020.000 MB/s  l: 18777.033 us   (avg) t:  3020.000 MB/s
[MONITOR] (0) t:  3010.000 MB/s  l: 18755.990 us   (avg) t:  3010.000 MB/s
[MONITOR] (0) t:  3000.000 MB/s  l: 18870.514 us   (avg) t:  3000.000 MB/s
[MONITOR] (0) t:  2940.000 MB/s  l: 19445.152 us   (avg) t:  2940.000 MB/s
[MONITOR] (0) t:  2960.000 MB/s  l: 18907.602 us   (avg) t:  2960.000 MB/s
[MONITOR] (0) t:  2980.000 MB/s  l: 18870.756 us   (avg) t:  2980.000 MB/s
[MONITOR] (0) t:  3020.000 MB/s  l: 18685.037 us   (avg) t:  3020.000 MB/s
[MONITOR] (0) t:  2990.000 MB/s  l: 18778.602 us   (avg) t:  2990.000 MB/s
[MONITOR] (0) t:  2990.000 MB/s  l: 18853.736 us   (avg) t:  2990.000 MB/s
[MONITOR] (0) t:  2970.000 MB/s  l: 19265.652 us   (avg) t:  2970.000 MB/s
[MONITOR] (0) t:  3000.000 MB/s  l: 18890.553 us   (avg) t:  3000.000 MB/s
[MONITOR] (0) t:  2990.000 MB/s  l: 18980.539 us   (avg) t:  2990.000 MB/s
[MONITOR] (0) t:  3010.000 MB/s  l: 18830.725 us   (avg) t:  3010.000 MB/s
[MONITOR] (0) t:  3000.000 MB/s  l: 18850.994 us   (avg) t:  3000.000 MB/s
[MONITOR] (0) t:  3020.000 MB/s  l: 19299.262 us   (avg) t:  3020.000 MB/s
[MONITOR] (0) t:  2870.000 MB/s  l: 19994.617 us   (avg) t:  2870.000 MB/s
[MONITOR] (0) t:  2960.000 MB/s  l: 19472.246 us   (avg) t:  2960.000 MB/s
[MONITOR] (0) t:  2900.000 MB/s  l: 19467.428 us   (avg) t:  2900.000 MB/s
[MONITOR] (0) t:  3000.000 MB/s  l: 18706.211 us   (avg) t:  3000.000 MB/s
[MONITOR] (0) t:  2890.000 MB/s  l: 19635.076 us   (avg) t:  2890.000 MB/s
[MONITOR] (0) t:  2970.000 MB/s  l: 18848.094 us   (avg) t:  2970.000 MB/s
