[MON] S000   1552.000 MB/s output   1330.719 MB/s [null] S001   1328.000 MB/s output      5.317 MB/s [null] q     52 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  193 [1][1]=  166]
[MON] S000   1550.450 MB/s output   1329.389 MB/s [null] S001   1334.665 MB/s output      5.343 MB/s [null] q     51 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  193 [1][1]=  166]
[MON] S000   1560.000 MB/s output   1337.578 MB/s [null] S001   1336.000 MB/s output      5.349 MB/s [null] q     52 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  195 [1][1]=  166]
[MON] S000   1478.521 MB/s output   1267.717 MB/s [null] S001   1262.737 MB/s output      5.055 MB/s [null] q     51 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  193 [1][1]=  166]
[MON] S000   1432.000 MB/s output   1227.828 MB/s [null] S001   1232.000 MB/s output      4.932 MB/s [null] q     52 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  185 [1][1]=  158]
[MON] S000   1550.450 MB/s output   1329.389 MB/s [null] S001   1326.673 MB/s output      5.311 MB/s [null] q     51 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  178 [1][1]=  153]
[MON] S000   1550.450 MB/s output   1329.389 MB/s [null] S001   1334.665 MB/s output      5.343 MB/s [null] q     51 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  194 [1][1]=  166]
[MON] S000   1560.000 MB/s output   1337.578 MB/s [null] S001   1336.000 MB/s output      5.349 MB/s [null] q     52 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  194 [1][1]=  166]
[MON] S000   1558.442 MB/s output   1336.242 MB/s [null] S001   1334.665 MB/s output      5.343 MB/s [null] q     52 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  194 [1][1]=  167]
[MON] S000   1560.000 MB/s output   1337.578 MB/s [null] S001   1336.000 MB/s output      5.349 MB/s [null] q     52 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  194 [1][1]=  166]
[MON] S000   1558.442 MB/s output   1336.242 MB/s [null] S001   1342.657 MB/s output      5.375 MB/s [null] q     51 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  194 [1][1]=  167]
[MON] S000   1560.000 MB/s output   1337.578 MB/s [null] S001   1336.000 MB/s output      5.349 MB/s [null] q     51 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  195 [1][1]=  167]
[MON] S000   1566.434 MB/s output   1343.094 MB/s [null] S001   1334.665 MB/s output      5.343 MB/s [null] q     52 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  195 [1][1]=  167]
[MON] S000   1560.000 MB/s output   1337.578 MB/s [null] S001   1336.000 MB/s output      5.349 MB/s [null] q     52 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  195 [1][1]=  167]
[MON] S000   1558.442 MB/s output   1336.242 MB/s [null] S001   1334.665 MB/s output      5.343 MB/s [null] q     52 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  195 [1][1]=  168]
[MON] S000   1560.000 MB/s output   1337.578 MB/s [null] S001   1344.000 MB/s output      5.381 MB/s [null] q     51 t     54 w     58 b      9 p      8 policy [[0][0]=    0 [0][1]=    0 [1][0]=  195 [1][1]=  167]
