[MONITOR] (0) t:  2624.000 MB/s  l: 42080.750 us   (avg) t:  2624.000 MB/s
[MONITOR] (0) t:  3088.000 MB/s  l: 29182.248 us   (avg) t:  3088.000 MB/s
[MONITOR] (0) t:  3104.000 MB/s  l: 29548.088 us   (avg) t:  3104.000 MB/s
[MONITOR] (0) t:  3184.000 MB/s  l: 27827.859 us   (avg) t:  3184.000 MB/s
[MONITOR] (0) t:  3104.000 MB/s  l: 34930.617 us   (avg) t:  3104.000 MB/s
[MONITOR] (0) t:  3184.000 MB/s  l: 28328.146 us   (avg) t:  3184.000 MB/s
[MONITOR] (0) t:  3184.000 MB/s  l: 28608.086 us   (avg) t:  3184.000 MB/s
[MONITOR] (0) t:  3184.000 MB/s  l: 28436.086 us   (avg) t:  3184.000 MB/s
[MONITOR] (0) t:  3184.000 MB/s  l: 27840.150 us   (avg) t:  3184.000 MB/s
[MONITOR] (0) t:  3216.000 MB/s  l: 27714.871 us   (avg) t:  3216.000 MB/s
[MONITOR] (0) t:  3120.000 MB/s  l: 28569.006 us   (avg) t:  3120.000 MB/s
[MONITOR] (0) t:  3184.000 MB/s  l: 28099.105 us   (avg) t:  3184.000 MB/s
[MONITOR] (0) t:  3184.000 MB/s  l: 27902.121 us   (avg) t:  3184.000 MB/s
[MONITOR] (0) t:  3200.000 MB/s  l: 27711.176 us   (avg) t:  3200.000 MB/s
[MONITOR] (0) t:  3200.000 MB/s  l: 27452.414 us   (avg) t:  3200.000 MB/s
[MONITOR] (0) t:  3216.000 MB/s  l: 27641.643 us   (avg) t:  3216.000 MB/s
[MONITOR] (0) t:  3264.000 MB/s  l: 27054.809 us   (avg) t:  3264.000 MB/s
[MONITOR] (0) t:  3216.000 MB/s  l: 27663.006 us   (avg) t:  3216.000 MB/s
[MONITOR] (0) t:  3184.000 MB/s  l: 27739.473 us   (avg) t:  3184.000 MB/s
[MONITOR] (0) t:  3200.000 MB/s  l: 27821.914 us   (avg) t:  3200.000 MB/s
[MONITOR] (0) t:  3120.000 MB/s  l: 28370.354 us   (avg) t:  3120.000 MB/s
[MONITOR] (0) t:  3200.000 MB/s  l: 27622.115 us   (avg) t:  3200.000 MB/s
[MONITOR] (0) t:  3152.000 MB/s  l: 27729.295 us   (avg) t:  3152.000 MB/s
[MONITOR] (0) t:  3184.000 MB/s  l: 27720.412 us   (avg) t:  3184.000 MB/s
[MONITOR] (0) t:  3184.000 MB/s  l: 27272.533 us   (avg) t:  3184.000 MB/s
[MONITOR] (0) t:  3200.000 MB/s  l: 27819.145 us   (avg) t:  3200.000 MB/s
[MONITOR] (0) t:  3248.000 MB/s  l: 27127.932 us   (avg) t:  3248.000 MB/s
[MONITOR] (0) t:  3216.000 MB/s  l: 27691.945 us   (avg) t:  3216.000 MB/s
[MONITOR] (0) t:  3248.000 MB/s  l: 27302.010 us   (avg) t:  3248.000 MB/s
[MONITOR] (0) t:  3216.000 MB/s  l: 28842.244 us   (avg) t:  3216.000 MB/s
[MONITOR] (0) t:  3200.000 MB/s  l: 28566.586 us   (avg) t:  3200.000 MB/s
[MONITOR] (0) t:  3216.000 MB/s  l: 27795.184 us   (avg) t:  3216.000 MB/s
[MONITOR] (0) t:  3200.000 MB/s  l: 27805.510 us   (avg) t:  3200.000 MB/s
[MONITOR] (0) t:  3216.000 MB/s  l: 27362.312 us   (avg) t:  3216.000 MB/s
[MONITOR] (0) t:  3200.000 MB/s  l: 27621.635 us   (avg) t:  3200.000 MB/s
[MONITOR] (0) t:  3216.000 MB/s  l: 27297.215 us   (avg) t:  3216.000 MB/s
[MONITOR] (0) t:  3216.000 MB/s  l: 27863.074 us   (avg) t:  3216.000 MB/s
[MONITOR] (0) t:  3216.000 MB/s  l: 27617.219 us   (avg) t:  3216.000 MB/s
